,Name,Brand,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine,Price
730,Chevrolet Cruze LTZ AT,Chevrolet,60000,Diesel,Automatic,First,1991,3.8
731,Toyota Innova 2.5 V Diesel 8-seater,Toyota,50000,Diesel,Manual,First,2494,15.65
732,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Mercedes-Benz,36797,Diesel,Automatic,First,2143,39.47
733,Maruti Ritz VXi,Maruti,50000,Petrol,Manual,Second,1197,1.5
734,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,Toyota,94000,Diesel,Manual,First,2494,8.85
735,Toyota Fortuner 4x4 MT,Toyota,74000,Diesel,Manual,Second,2982,17.9
736,Hyundai i10 Sportz AT,Hyundai,41016,Petrol,Automatic,Second,1197,5.08
737,Hyundai Verna 1.6 SX,Hyundai,67000,Diesel,Manual,First,1582,6.25
738,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Audi,76927,Diesel,Automatic,First,1968,22.75
739,Chevrolet Beat LS,Chevrolet,17088,Petrol,Manual,First,1199,1.46
740,Ford Fiesta 1.4 Duratorq ZXI,Ford,112808,Diesel,Manual,Second,1399,2.05
741,Ford Figo Diesel EXI,Ford,74980,Diesel,Manual,First,1399,4.08
742,Maruti Celerio VXI AT,Maruti,44600,Petrol,Automatic,First,998,4.55
743,Mercedes-Benz A Class A180 CDI,Mercedes-Benz,37000,Diesel,Automatic,First,2143,14.0
744,Hyundai Creta 1.6 SX,Hyundai,21000,Petrol,Manual,First,1591,10.9
745,Maruti Wagon R VXI BS IV,Maruti,81245,Petrol,Manual,First,998,2.45
746,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Mercedes-Benz,70000,Diesel,Automatic,First,2148,15.8
747,Ford EcoSport 1.5 Ti VCT MT Titanium BE,Ford,4018,Petrol,Manual,First,1499,8.25
748,Renault Koleos 2.0 Diesel,Renault,70000,Diesel,Automatic,Second,1995,8.5
749,Mahindra XUV500 W10 2WD,Mahindra,56532,Diesel,Manual,First,2179,15.54
750,Maruti Omni E 8 Str STD,Maruti,26875,Petrol,Manual,First,796,2.35
751,Maruti Wagon R VXI,Maruti,72599,Petrol,Manual,First,998,4.32
752,Ford Endeavour XLT TDCi 4X2,Ford,205000,Diesel,Manual,Second,2499,3.9
753,Hyundai Verna 1.6 SX,Hyundai,98000,Diesel,Manual,Second,1582,5.2
754,Hyundai i20 Magna 1.2,Hyundai,19500,Petrol,Manual,First,1197,5.85
755,Maruti Ertiga ZXI,Maruti,68000,Petrol,Manual,Second,1373,6.25
756,Mahindra XUV500 W9 AT,Mahindra,19654,Diesel,Automatic,First,2179,17.63
757,Maruti SX4 S Cross DDiS 200 Zeta,Maruti,26000,Diesel,Manual,First,1248,9.75
758,Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,75020,Diesel,Manual,First,1199,4.1
759,Toyota Fortuner 4x4 MT,Toyota,157000,Diesel,Manual,First,2982,11.99
760,Mahindra XUV500 W10 2WD,Mahindra,43773,Diesel,Manual,First,2179,13.54
761,Mercedes-Benz GLE 250d,Mercedes-Benz,21000,Diesel,Automatic,First,2143,56.0
762,Honda Jazz 1.2 VX i VTEC,Honda,23280,Petrol,Manual,First,1199,6.5
763,Maruti Swift Dzire VDI,Maruti,88000,Diesel,Manual,First,1248,4.75
764,Hyundai Verna 1.6 SX VTVT,Hyundai,67000,Petrol,Manual,First,1591,5.6
765,Hyundai i20 1.2 Asta Option,Hyundai,11000,Petrol,Manual,First,1197,6.35
766,Honda City 1.5 V MT Sunroof,Honda,60669,Petrol,Manual,First,1497,4.95
767,Honda Amaze VX Diesel,Honda,12000,Diesel,Manual,First,1498,8.5
768,Hyundai Verna 1.6 SX VTVT (O),Hyundai,35000,Petrol,Manual,First,1591,4.5
769,Honda Mobilio S i DTEC,Honda,65000,Diesel,Manual,First,1498,5.5
770,Maruti Ertiga ZDI,Maruti,39929,Diesel,Manual,First,1248,6.56
771,Maruti Alto K10 LXI,Maruti,49000,Petrol,Manual,First,998,2.3
772,Toyota Qualis FS B2,Toyota,77757,Diesel,Manual,Second,2446,3.5
773,Hyundai i10 Sportz,Hyundai,21456,Petrol,Manual,First,1197,4.55
774,Skoda Laura 1.9 TDI AT Ambiente,Skoda,74000,Diesel,Automatic,Second,1896,7.75
775,Hyundai i20 Asta Option 1.2,Hyundai,37000,Petrol,Manual,Second,1197,5.25
776,BMW 5 Series 2003-2012 530d Highline,BMW,108640,Diesel,Automatic,First,2993,23.29
777,BMW 3 Series 320d M Sport,BMW,38000,Diesel,Automatic,First,1995,23.99
778,Chevrolet Aveo 1.4 LT ABS BSIV,Chevrolet,80000,Petrol,Manual,First,1399,1.79
779,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Mercedes-Benz,47000,Diesel,Automatic,Second,2143,13.9
780,Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,31000,Diesel,Automatic,First,1968,18.95
781,Maruti Wagon R LXI BS IV,Maruti,40000,Petrol,Manual,First,998,2.49
782,Renault KWID RXT,Renault,4152,Petrol,Manual,First,799,3.15
783,Volkswagen Ameo 1.5 TDI Highline,Volkswagen,51000,Diesel,Manual,First,1498,6.45
784,Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,55000,Diesel,Manual,First,1199,4.25
785,Maruti Alto 800 LXI,Maruti,58500,Petrol,Manual,First,796,2.75
786,Hyundai i20 Asta Option 1.2,Hyundai,58620,Petrol,Manual,First,1197,7.14
787,Hyundai i20 1.2 Sportz,Hyundai,71172,Petrol,Manual,Third,1197,3.5
788,Hyundai i20 1.4 Asta,Hyundai,12000,Diesel,Manual,First,1396,7.3
789,Maruti Wagon R LXI Optional,Maruti,25000,Petrol,Manual,First,998,2.75
790,Hyundai i20 1.4 Asta Option,Hyundai,43000,Diesel,Manual,Second,1396,8.2
791,Volkswagen Polo GT TSI,Volkswagen,57022,Petrol,Automatic,First,1197,6.51
792,Ford Figo Diesel Titanium,Ford,92000,Diesel,Manual,First,1399,4.25
793,Maruti Swift ZXI,Maruti,33372,Petrol,Manual,Second,1197,6.21
794,Hyundai Grand i10 CRDi Magna,Hyundai,52625,Diesel,Manual,First,1120,4.58
795,Mahindra Xylo H4,Mahindra,215000,Diesel,Manual,First,2179,7.5
796,Hyundai i10 Magna 1.1,Hyundai,60138,Petrol,Manual,First,1086,4.09
797,Skoda Octavia Elegance 2.0 TDI AT,Skoda,84000,Diesel,Automatic,First,1968,10.75
798,Maruti Celerio VXI AT,Maruti,33450,Petrol,Automatic,First,998,4.4
799,Volkswagen Vento Diesel Comfortline,Volkswagen,125000,Diesel,Manual,Second,1598,6.25
800,BMW 3 Series 320d Highline,BMW,99606,Diesel,Automatic,Second,1995,10.5
801,Maruti Ertiga ZDI,Maruti,64000,Diesel,Manual,First,1248,7.25
802,Ford Figo Diesel ZXI,Ford,51000,Diesel,Manual,First,1399,3.2
803,Volkswagen Polo 1.2 MPI Highline,Volkswagen,57000,Petrol,Manual,First,1198,3.95
804,Audi A6 3.0 TDI quattro,Audi,48040,Diesel,Automatic,Second,2967,12.07
805,Toyota Innova Crysta 2.4 ZX MT,Toyota,43200,Diesel,Manual,First,2393,18.6
806,Hyundai Verna 1.6 CRDi EX AT,Hyundai,66000,Diesel,Automatic,First,1582,5.7
807,Hyundai Santro Xing GL Plus,Hyundai,31000,Petrol,Manual,First,1086,1.75
808,Audi A4 2.0 TDI,Audi,46000,Diesel,Automatic,Second,1968,10.99
809,Audi A4 2.0 TDI,Audi,47346,Diesel,Automatic,First,1968,14.5
810,Skoda Laura 1.9 TDI MT Ambiente,Skoda,100000,Diesel,Manual,First,1896,3.11
811,Honda CR-V 2.0L 2WD AT,Honda,63856,Petrol,Automatic,First,1997,13.96
812,Hyundai Verna 1.6 SX CRDi (O),Hyundai,72996,Diesel,Manual,First,1582,7.11
813,Honda Mobilio RS i DTEC,Honda,23000,Diesel,Manual,First,1498,6.9
814,Hyundai i20 1.2 Asta Option,Hyundai,15985,Petrol,Manual,First,1197,7.77
815,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,98000,Diesel,Manual,Second,2494,5.5
816,Hyundai i20 Magna 1.2,Hyundai,70089,Petrol,Manual,First,1197,5.35
817,Mahindra Bolero VLX BS IV,Mahindra,99000,Diesel,Manual,Second,2523,4.5
818,Volkswagen Vento 1.5 TDI Comfortline,Volkswagen,72000,Diesel,Manual,First,1498,4.75
819,Jaguar XF 2.2 Litre Luxury,Jaguar,44194,Diesel,Automatic,First,2179,32.8
820,Maruti Zen LXi - BS III,Maruti,102000,Petrol,Manual,First,993,0.7
821,Mercedes-Benz E-Class Facelift,Mercedes-Benz,56652,Diesel,Automatic,First,2987,50.29
822,Toyota Fortuner 3.0 Diesel,Toyota,41650,Diesel,Manual,Second,2982,10.99
823,Hyundai Grand i10 AT Asta,Hyundai,61717,Petrol,Automatic,First,1197,5.57
824,Hyundai Xcent 1.2 CRDi S,Hyundai,25302,Diesel,Manual,First,1186,5.9
825,Hyundai Creta 1.6 VTVT S,Hyundai,47016,Petrol,Manual,First,1591,9.43
826,Hyundai i10 Sportz,Hyundai,69000,Petrol,Manual,First,1197,2.9
827,Honda Brio S MT,Honda,32700,Petrol,Manual,First,1198,3.68
828,Toyota Fortuner 4x2 AT,Toyota,101337,Diesel,Automatic,First,2982,21.67
829,Audi A4 2.0 TDI Multitronic,Audi,59000,Diesel,Automatic,First,1968,12.5
830,Toyota Innova Crysta 2.8 ZX AT,Toyota,41736,Diesel,Automatic,First,2755,19.92
831,Honda City i DTEC VX,Honda,71649,Diesel,Manual,First,1498,6.75
832,Honda City i DTEC VX,Honda,80606,Diesel,Manual,First,1498,6.96
833,Renault KWID 1.0 RXT Optional,Renault,63262,Petrol,Manual,First,999,3.25
834,Maruti Swift DDiS ZDI Plus,Maruti,5456,Diesel,Manual,First,1248,8.65
835,Maruti Celerio VXI Optional AMT,Maruti,7500,Petrol,Automatic,First,998,5.0
836,Mahindra XUV500 W8 2WD,Mahindra,66000,Diesel,Manual,First,2179,5.5
837,Hyundai i10 Magna,Hyundai,66770,Petrol,Manual,Second,1197,2.6
838,Hyundai i10 Magna 1.1,Hyundai,58472,Petrol,Manual,First,1086,3.41
839,Maruti Dzire VXI,Maruti,46687,Petrol,Manual,First,1197,2.7
840,Maruti Grand Vitara AT,Maruti,77000,Petrol,Automatic,Fourth & Above,1995,5.5
841,Audi TT 40 TFSI,Audi,7000,Petrol,Automatic,First,1984,35.0
842,Mercedes-Benz New C-Class C 200 CGI,Mercedes-Benz,48000,Petrol,Automatic,Second,1991,9.75
843,Nissan Sunny 2011-2014 Diesel XV,Nissan,47000,Diesel,Manual,First,1461,4.25
844,Maruti Wagon R LXI,Maruti,51530,Petrol,Manual,First,998,3.2
845,Maruti Swift Dzire ZDI,Maruti,25789,Diesel,Manual,Second,1248,6.85
846,Honda Amaze S i-Dtech,Honda,48000,Diesel,Manual,First,1498,4.5
847,Maruti Swift ZDI,Maruti,52000,Diesel,Manual,First,1248,3.55
848,Mahindra Scorpio LX 2.6 Turbo,Mahindra,131000,Diesel,Manual,First,2609,3.6
849,Mercedes-Benz E-Class E250 CDI Avantgrade,Mercedes-Benz,42076,Diesel,Automatic,First,2143,21.8
850,Toyota Fortuner 4x2 Manual,Toyota,76000,Diesel,Manual,Second,2982,13.5
851,Datsun redi-GO T Option,Datsun,20487,Petrol,Manual,First,799,2.66
852,Honda City V MT,Honda,43000,Petrol,Manual,Second,1497,3.75
853,Toyota Camry Hybrid,Toyota,17000,Petrol,Automatic,First,2494,32.0
854,Honda City i DTec V,Honda,60805,Diesel,Manual,First,1498,8.07
855,Volkswagen Jetta 2012-2014 2.0L TDI Trendline,Volkswagen,58775,Diesel,Manual,First,1968,5.64
856,Audi A6 2011-2015 2.0 TDI,Audi,70181,Diesel,Automatic,First,1968,23.99
857,Maruti Ertiga VDI,Maruti,85827,Diesel,Manual,First,1248,7.5
858,Mercedes-Benz New C-Class C 220 CDI Style,Mercedes-Benz,58205,Diesel,Automatic,First,2143,27.0
859,Maruti Swift Dzire Vdi BSIV,Maruti,91000,Diesel,Manual,Second,1248,2.85
860,Renault Duster 110PS Diesel RxZ Pack,Renault,74000,Diesel,Manual,First,1461,6.35
861,Maruti Ritz VDi,Maruti,79324,Diesel,Manual,First,1248,3.3
862,Maruti Swift Dzire VXI,Maruti,38623,Petrol,Manual,First,1197,5.0
863,Maruti Swift ZDi,Maruti,59923,Diesel,Manual,First,1248,6.46
864,Hyundai EON Sportz,Hyundai,23360,Petrol,Manual,First,814,3.75
865,Maruti Zen VXI BSII,Maruti,61495,Petrol,Manual,Third,993,1.52
866,Maruti Eeco 7 Seater Standard,Maruti,56661,Petrol,Manual,First,1196,3.61
867,Audi Q5 30 TDI quattro Premium,Audi,40318,Diesel,Automatic,First,1968,43.74
868,Audi Q3 2.0 TDI,Audi,60000,Diesel,Automatic,First,1968,20.0
869,Maruti Swift Dzire VDi,Maruti,130000,Diesel,Manual,First,1248,3.65
870,Tata Sumo DX,Tata,20000,Diesel,Manual,First,1978,5.25
871,Honda City i-VTEC CVT VX,Honda,30000,Petrol,Automatic,First,1497,8.65
872,Tata Indigo eCS eLX BS IV,Tata,150000,Diesel,Manual,First,1396,2.5
873,Volkswagen Vento TSI,Volkswagen,28000,Petrol,Automatic,First,1197,7.75
874,Maruti Celerio VXI,Maruti,74000,Petrol,Manual,First,998,4.15
875,Toyota Fortuner 3.0 Diesel,Toyota,75000,Diesel,Manual,First,2982,10.85
876,Mitsubishi Outlander 2.4,Mitsubishi,76000,Petrol,Automatic,Second,2360,5.53
877,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Volkswagen,64889,Diesel,Automatic,First,1896,11.5
878,Hyundai Creta 1.6 CRDi SX,Hyundai,43000,Diesel,Manual,First,1582,9.25
879,Skoda Fabia 1.2 MPI Ambiente Petrol,Skoda,47490,Petrol,Manual,First,1198,2.29
880,Ford EcoSport 1.5 TDCi Titanium,Ford,80000,Diesel,Manual,First,1498,7.0
881,Maruti Zen Estilo 1.1 LXI BSIII,Maruti,60000,Petrol,Manual,Second,1061,1.65
882,Maruti Ciaz 1.4 Delta,Maruti,6006,Petrol,Manual,First,1373,8.25
883,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Mercedes-Benz,71703,Petrol,Automatic,First,1991,9.14
884,Honda Amaze SX i-VTEC,Honda,33000,Petrol,Manual,First,1198,6.5
885,Renault Duster 85PS Diesel RxL,Renault,91000,Diesel,Manual,First,1461,5.75
886,Volkswagen Polo Petrol Highline 1.2L,Volkswagen,43000,Petrol,Manual,Second,1198,2.1
887,Hyundai Creta 1.6 SX Plus Diesel,Hyundai,63770,Diesel,Manual,First,1582,13.55
888,Jaguar XF Diesel,Jaguar,43510,Diesel,Automatic,First,2993,20.5
889,Jeep Compass 2.0 Limited 4X4,Jeep,52000,Diesel,Manual,First,1956,20.0
890,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Land,31427,Diesel,Automatic,First,1999,59.72
891,Maruti Baleno Alpha Diesel,Maruti,29000,Diesel,Manual,First,1248,6.5
892,Maruti Ciaz ZDi SHVS,Maruti,56000,Diesel,Manual,First,1248,7.5
893,Maruti SX4 Vxi BSIII,Maruti,76000,Petrol,Manual,Second,1586,2.15
894,Hyundai Elantra CRDi SX,Hyundai,53615,Diesel,Manual,First,1582,8.44
895,Mitsubishi Pajero Sport 4X4,Mitsubishi,132000,Diesel,Manual,First,2477,12.49
896,Volkswagen Ameo 1.2 MPI Comfortline,Volkswagen,14800,Petrol,Manual,First,1198,5.48
897,Maruti Ritz VXi,Maruti,35433,Petrol,Manual,First,1197,4.2
898,Hyundai Verna CRDi SX,Hyundai,82966,Diesel,Manual,First,1493,7.2
899,Maruti Swift Dzire Tour LDI,Maruti,96000,Diesel,Manual,First,1248,4.8
900,Mahindra KUV 100 mFALCON D75 K6,Mahindra,39528,Diesel,Manual,First,1198,5.83
901,Toyota Innova Crysta 2.4 ZX MT,Toyota,92056,Diesel,Manual,First,2393,18.39
902,Maruti Baleno Delta 1.2,Maruti,14930,Petrol,Manual,First,1197,5.85
903,Honda Jazz VX Diesel,Honda,38000,Diesel,Manual,First,1498,6.21
904,Hyundai i20 1.2 Asta,Hyundai,71000,Petrol,Manual,First,1197,3.65
905,Hyundai i20 Sportz Diesel,Hyundai,71000,Diesel,Manual,First,1396,3.7
906,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Mercedes-Benz,50000,Diesel,Automatic,First,2143,30.0
907,Hyundai Xcent 1.2 Kappa Base,Hyundai,48163,Petrol,Manual,First,1197,4.85
908,Hyundai Grand i10 AT Asta,Hyundai,19168,Petrol,Automatic,First,1197,6.93
909,Maruti Alto 800 VXI,Maruti,26000,Petrol,Manual,First,796,2.6
910,Chevrolet Sail Hatchback 1.2 LS,Chevrolet,37400,Petrol,Manual,First,1199,1.89
911,Mercedes-Benz C-Class Progressive C 220d,Mercedes-Benz,8682,Diesel,Automatic,First,1950,39.5
912,Skoda Superb Elegance 1.8 TSI AT,Skoda,95000,Petrol,Automatic,First,1798,10.0
913,Audi A4 2.0 TDI,Audi,34000,Diesel,Automatic,First,1968,9.95
914,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,95000,Diesel,Manual,Second,2494,9.45
915,Mercedes-Benz CLA 200 CDI Sport,Mercedes-Benz,13689,Diesel,Automatic,First,2143,28.25
916,Hyundai i10 Era,Hyundai,84000,Petrol,Manual,Second,1086,1.8
917,Maruti Swift Dzire VXi,Maruti,47000,Petrol,Manual,Second,1298,1.4
918,Skoda Rapid 1.5 TDI AT Ambition,Skoda,60001,Diesel,Automatic,First,1498,7.25
919,Maruti Ritz VDi,Maruti,96000,Diesel,Manual,First,1248,3.6
920,Hyundai Accent GLS 1.6,Hyundai,47300,Petrol,Manual,Second,1599,1.2
921,Honda Amaze SX i-VTEC,Honda,28246,Petrol,Manual,Second,1198,4.94
922,Maruti Wagon R LXI,Maruti,65000,Petrol,Manual,Second,998,1.25
923,Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,68000,Diesel,Manual,Second,1199,4.8
924,Ford Endeavour 2.2 Trend AT 4X2,Ford,11209,Diesel,Automatic,First,2198,31.15
925,Hyundai i20 1.2 Sportz,Hyundai,41980,Petrol,Manual,Second,1197,3.3
926,Chevrolet Beat Diesel PS,Chevrolet,65000,Diesel,Manual,First,936,2.4
927,Honda Civic 2010-2013 1.8 V MT,Honda,38000,Petrol,Manual,First,1799,2.0
928,Maruti Wagon R VXI BS IV,Maruti,51000,Petrol,Manual,First,998,3.1
929,Skoda Rapid 1.6 MPI Ambition Plus,Skoda,33855,Petrol,Manual,First,1598,5.09
930,Maruti Baleno Vxi - BSIII,Maruti,146000,Petrol,Manual,Second,1590,1.05
931,Ford EcoSport 1.5 TDCi Titanium,Ford,47037,Diesel,Manual,Second,1498,7.0
932,Hyundai Accent GLE,Hyundai,58000,Petrol,Manual,Second,1495,2.5
933,BMW 5 Series 520d Luxury Line,BMW,61240,Diesel,Automatic,First,1995,17.5
934,Maruti Alto K10 2010-2014 VXI,Maruti,91211,Petrol,Manual,First,998,2.1
935,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Audi,84000,Diesel,Automatic,First,1968,17.75
936,Toyota Corolla H4,Toyota,67000,Petrol,Automatic,Second,1794,2.45
937,Volvo XC60 D5,Volvo,106976,Diesel,Automatic,First,2400,13.8
938,Honda Jazz 1.5 VX i DTEC,Honda,27210,Diesel,Manual,First,1498,5.85
939,Maruti Ciaz 1.3 Alpha,Maruti,26322,Diesel,Manual,First,1248,8.9
940,Maruti Swift VXI BSIV,Maruti,9107,Petrol,Manual,First,1197,5.15
941,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mercedes-Benz,63983,Diesel,Automatic,First,2143,16.56
942,Maruti Wagon R VXI Minor,Maruti,134000,Petrol,Manual,Second,1061,1.65
943,Mercedes-Benz A Class A180 Sport,Mercedes-Benz,11000,Petrol,Automatic,First,1595,16.0
944,Hyundai Santro Xing GL,Hyundai,93000,Petrol,Manual,First,1086,1.45
945,Maruti Swift Dzire AMT ZDI,Maruti,24852,Diesel,Automatic,First,1248,8.08
946,Hyundai Grand i10 AT Asta,Hyundai,37632,Petrol,Automatic,First,1197,4.5
947,Nissan Sunny 2011-2014 XV Special Edition,Nissan,55000,Petrol,Manual,Second,1498,4.3
948,Maruti A-Star Lxi,Maruti,81448,Petrol,Manual,First,998,2.6
949,Renault KWID RXT Optional,Renault,1900,Petrol,Manual,First,799,4.45
950,Hyundai Verna 1.6 SX VTVT (O) AT,Hyundai,54957,Petrol,Automatic,First,1591,5.37
951,Maruti Wagon R LXI Minor,Maruti,55000,Petrol,Manual,Second,1061,1.75
952,BMW 3 Series 320d Sport Line,BMW,21983,Diesel,Automatic,First,1995,16.5
953,BMW 5 Series 2003-2012 520d,BMW,76000,Diesel,Automatic,First,1995,19.0
954,Tata Indigo CS eVX,Tata,65000,Diesel,Manual,First,1396,2.8
955,Hyundai i20 Sportz 1.4 CRDi,Hyundai,26000,Diesel,Manual,First,1396,6.2
956,Maruti Omni E MPI STD BS IV,Maruti,11571,Petrol,Manual,First,796,3.8
957,Maruti Swift ZDi,Maruti,81000,Diesel,Manual,First,1248,6.1
958,Ford Ecosport Signature Edition Diesel,Ford,23154,Diesel,Manual,First,1498,11.65
959,Honda Brio VX AT,Honda,26856,Petrol,Automatic,First,1198,4.15
960,Toyota Innova Crysta 2.4 GX MT,Toyota,67489,Diesel,Manual,First,2393,16.5
961,Mahindra Scorpio 2.6 LX,Mahindra,176000,Diesel,Manual,Second,2179,4.3
962,Hyundai i20 1.2 Magna,Hyundai,18000,Petrol,Manual,First,1197,2.25
963,Hyundai Verna 1.6 SX,Hyundai,63003,Diesel,Manual,First,1582,6.75
964,Mahindra XUV500 W6 2WD,Mahindra,80000,Diesel,Manual,First,2179,9.4
965,Volkswagen Vento 1.5 TDI Comfortline,Volkswagen,56658,Diesel,Manual,First,1498,5.39
966,Maruti Swift Dzire VDI Optional,Maruti,18592,Diesel,Manual,First,1248,8.51
967,Tata Manza Aura Safire BS IV,Tata,75695,Petrol,Manual,First,1368,1.85
968,Maruti Swift VDI,Maruti,82000,Diesel,Manual,Second,1248,2.5
969,Volkswagen Polo Diesel Highline 1.2L,Volkswagen,60000,Diesel,Manual,First,1199,4.75
970,Honda City 1.5 V MT,Honda,138000,Petrol,Manual,Second,1497,3.5
971,Hyundai i20 Asta (o) 1.4 CRDi (Diesel),Hyundai,67000,Diesel,Manual,First,1396,5.5
972,Honda City 1.5 V MT,Honda,42750,Petrol,Manual,First,1497,6.33
973,Chevrolet Beat Diesel,Chevrolet,52398,Diesel,Manual,First,936,2.47
974,Chevrolet Spark 1.0 LS,Chevrolet,36657,Petrol,Manual,First,995,3.3
975,Tata New Safari DICOR 2.2 EX 4x2,Tata,77000,Diesel,Manual,Second,2179,3.5
976,BMW 5 Series 2003-2012 530d Highline,BMW,112500,Diesel,Automatic,First,2993,7.99
977,Toyota Fortuner 2.8 4WD MT,Toyota,105072,Diesel,Manual,First,2755,13.28
978,BMW X1 sDrive 18i,BMW,80000,Petrol,Automatic,First,1995,9.5
979,Renault Captur 1.5 Diesel Platine Mono,Renault,3102,Diesel,Manual,First,1461,14.01
980,Hyundai Xcent 1.1 CRDi S,Hyundai,14656,Diesel,Manual,First,1120,6.99
981,BMW 3 Series 320d,BMW,105000,Diesel,Automatic,Second,1995,11.0
982,BMW 5 Series 2010-2013 525i,BMW,61000,Petrol,Automatic,Second,2497,11.0
983,Nissan Micra XE,Nissan,85046,Petrol,Manual,Second,1198,2.3
984,Jaguar XF 2.2 Litre Luxury,Jaguar,48000,Diesel,Automatic,First,2179,26.5
985,Jeep Compass 1.4 Limited Option,Jeep,4000,Petrol,Automatic,First,1368,17.75
986,Honda CR-V 2.4 AT,Honda,94000,Petrol,Automatic,Second,2354,4.8
987,Maruti Swift VXI,Maruti,61110,Petrol,Manual,First,1197,4.57
988,Hyundai Xcent 1.1 CRDi S,Hyundai,80000,Diesel,Manual,First,1120,3.5
989,Nissan Terrano XV Premium 110 PS,Nissan,43190,Diesel,Manual,First,1461,7.61
990,Audi A4 35 TDI Technology,Audi,45000,Diesel,Automatic,First,1968,25.0
991,Hyundai Grand i10 Asta Option,Hyundai,44178,Petrol,Manual,First,1197,5.88
992,Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota,84415,Diesel,Manual,First,2494,13.5
993,Hyundai i20 1.2 Magna,Hyundai,35000,Petrol,Manual,First,1197,4.6
994,Ford EcoSport 1.5 TDCi Titanium,Ford,44000,Diesel,Manual,First,1498,4.9
995,Honda City 1.5 S MT,Honda,67635,Petrol,Manual,First,1497,5.25
996,Ford EcoSport 1.5 Petrol Titanium Plus AT,Ford,18385,Petrol,Automatic,First,1497,12.41
997,Volkswagen Polo Diesel Highline 1.2L,Volkswagen,35000,Diesel,Manual,First,1199,3.8
998,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mercedes-Benz,49000,Diesel,Automatic,First,2143,8.95
999,Ford Ecosport 1.5 DV5 MT Titanium,Ford,69000,Diesel,Manual,First,1498,7.2
1000,Tata Indigo GLE,Tata,23228,Petrol,Manual,First,1396,4.5
1001,Maruti Swift Dzire LDI,Maruti,68462,Diesel,Manual,First,1248,4.15
1002,Maruti S-Cross Zeta DDiS 200 SH,Maruti,74611,Diesel,Manual,First,1248,7.94
1003,Renault Duster 110PS Diesel RxZ Pack,Renault,90000,Diesel,Manual,First,1461,7.25
1004,Maruti Wagon R VXI,Maruti,22000,Petrol,Manual,First,998,3.7
1005,Hyundai Santro Xing GL,Hyundai,58163,Petrol,Manual,First,1086,2.45
1006,Chevrolet Beat Diesel LT,Chevrolet,109500,Diesel,Manual,Third,936,1.5
1007,Mahindra XUV500 W4 1.99 mHawk,Mahindra,13363,Diesel,Manual,First,1997,12.0
1008,Hyundai i10 Era 1.1,Hyundai,51000,Petrol,Manual,Second,1086,2.2
1009,Tata New Safari DICOR 2.2 EX 4x4,Tata,103000,Diesel,Manual,First,2179,3.6
1010,Hyundai i10 Sportz,Hyundai,43002,Petrol,Manual,First,1197,1.92
1011,Toyota Innova Crysta 2.8 ZX AT,Toyota,108000,Diesel,Automatic,First,2755,20.5
1012,Skoda Laura Elegance MT,Skoda,82407,Diesel,Manual,First,1896,4.25
1013,Hyundai Grand i10 Sportz,Hyundai,29000,Petrol,Manual,First,1197,3.2
1014,Maruti Swift Dzire VDI,Maruti,45000,Diesel,Manual,First,1248,3.85
1015,Hyundai i20 Asta 1.4 CRDi (Diesel),Hyundai,93401,Diesel,Manual,First,1396,3.48
1016,Ford Figo 2015-2019 1.5D Trend MT,Ford,95802,Diesel,Manual,Second,1498,4.55
1017,Maruti Ertiga VDI,Maruti,130000,Diesel,Manual,First,1248,7.0
1018,Maruti Ertiga ZDI,Maruti,67443,Diesel,Manual,First,1248,5.75
1019,Honda City 1.5 V AT Sunroof,Honda,47681,Petrol,Automatic,First,1497,8.73
1020,Maruti Alto LXi BSIII,Maruti,35000,Petrol,Manual,First,796,1.7
1021,Maruti Vitara Brezza ZDi Plus,Maruti,34688,Diesel,Manual,First,1248,10.49
1022,Maruti Swift ZDi,Maruti,58000,Diesel,Manual,First,1248,7.55
1023,Tata Zest Revotron 1.2 XT,Tata,40000,Petrol,Manual,First,1193,3.95
1024,Hyundai i20 1.2 Sportz Option,Hyundai,61000,Petrol,Manual,Fourth & Above,1197,3.25
1025,Skoda Fabia 1.4 TDI Active,Skoda,86000,Diesel,Manual,First,1422,2.75
1026,Toyota Corolla Altis D-4D J,Toyota,45000,Diesel,Manual,First,1364,7.35
